start_id_a,start_name_a,start_id_b,start_name_b,meeting_step,meeting_id,meeting_name
9cd1e7f8-8ccf-4469-bc25-25d138605c67,Akademija,4a90e424-11ab-43a8-b7e9-1c4f42fe2b7c,Pod Hribom,1024,6efecef0-52ba-4a47-9991-9bab5ce31340,Ajdovščina
e7789f42-0ad7-44d1-974b-42a3f4957291,Strelišče,3edd6057-3847-4c42-b8ec-6e89ff95793a,Zadobrova,5001,TIMEOUT,TIMEOUT
609f0950-bb8c-4eaf-a931-8575b8aff1ac,Savske stolpnice,58db973d-ecbb-4aa6-a56c-c26aaff7f263,SŽ ŠIŠKA,43,f1bc11ca-7516-447a-b826-7051c5306af7,Friškovec
5e732249-14ec-4efe-bae1-7f9ca722f7ae,M. St. vas,73e6ef23-ef0c-41bf-9960-0e3078b94d23,Ig,5001,TIMEOUT,TIMEOUT
da656f17-9723-4cbe-a008-823cbad17c28,Dolgi most,a3aeed02-8e36-4cb0-bb08-25cc4afda164,Rašica,2904,9cb18d2e-9bf3-436a-ab3a-7c52c5de1300,Rašica
9143c575-806f-4ba0-81bc-8199f0b0b4d0,Šentjakob,8512e1be-4637-483b-a3e6-78ccc6d2c5b1,Navje,186,0eca6015-5429-4289-a76c-4ec9ef707e67,BTC-Merkur
91b76764-87af-4b90-89dd-60f0046f7cc0,Tomačevska,32abc648-685c-47b0-bbc4-203371ec2699,Podpeč 1,5001,TIMEOUT,TIMEOUT
b5273abc-dfeb-49a2-9607-249bf6415e4b,I. Kobilca,093afa81-b65f-4182-bac3-afbc00558a9b,Koseze,5001,TIMEOUT,TIMEOUT
dd57f39b-be0f-479e-bc35-5bd2edf98ff2,Bolnica,c5527a65-5265-43de-b703-7c7d494d190c,Pot v Smrečje,5001,TIMEOUT,TIMEOUT
9a14b0ec-f13a-46f0-8c4f-07d8b99241e2,Cesta v Zavoglje,9a14b0ec-f13a-46f0-8c4f-07d8b99241e2,Cesta v Zavoglje,0,9a14b0ec-f13a-46f0-8c4f-07d8b99241e2,Cesta v Zavoglje
b2cf1f2c-3c77-4a23-891f-3cdbcda92f19,Škofljica žaga,a52cd7ac-c11e-4c8b-94a5-1a12b32595da,Jurčkova,5001,TIMEOUT,TIMEOUT
29336b94-2382-46dd-b2e6-4590dd689640,Pot v Hrastovec,c627c9f2-af02-4d83-969a-566719bb09e3,GAMELJNE,204,3fbf6322-fb74-4a50-a81a-bfca73abc26b,Tacenski most
acd87210-4e04-49b4-884b-1fe11c453bf4,Kožljevec,79a5bacd-8b59-4d83-99e8-26e3c5b1490b,Osenjakova,5001,TIMEOUT,TIMEOUT
cdabf1ea-b04c-480a-8359-72c46e6864ab,Bežigrad,ab0d4ded-a428-4133-a6c8-0f2caac0a5ae,Iška vas,5001,TIMEOUT,TIMEOUT
a52cd7ac-c11e-4c8b-94a5-1a12b32595da,Jurčkova,46847a61-d68a-4d2c-ad76-18e043d41430,Brglezov štradon,149,b56664c0-1dc1-42c5-b10b-52c3fb0dd042,Galjevica
9bb1ed3b-5a6f-43c7-afaf-ba2b60ca1a7a,Aškerčeva,bff8345d-1b72-4b41-8b8d-cb8a5483a2e4,Medno,3462,9a1c4c65-df77-481f-87ad-56143f02a864,Vižmarje
8a5febd6-d44a-4c98-a221-46044548663d,Sp. Gameljne 1,4a74b966-4fbf-41ab-8e1b-276f3f14fc49,Ježa,4890,05643914-8ff7-4064-8737-2761d44a083f,Tabor
2838f674-f6e9-4eb5-a99c-1d0ac7903ca1,NOVE JARŠE,9a1c4c65-df77-481f-87ad-56143f02a864,Vižmarje,5001,TIMEOUT,TIMEOUT
d98335a0-1291-4d4c-be62-16b11c356575,Božičeva,eec159d0-4b1b-4706-9a5d-a00ddcbea9f5,Baragova,1317,5c38ad77-8124-42b3-810f-04703daec8b4,Šentjakob
db13a26e-19d4-4b8a-a78a-01ef25d58834,Ježica,ba6f47bf-d346-4ccb-8669-13b974d863a6,Križišče Sostro,5001,TIMEOUT,TIMEOUT
1c8efa00-4587-4efc-a10d-794e9d885857,Troščine,2beb7011-982a-4349-be22-addf1c3bdec7,Pod Kamno Gorico,5001,TIMEOUT,TIMEOUT
55f1ae46-11e5-4270-991f-f09dae6c58bf,Kodeljevo,befe0e87-b5fe-41ff-9a77-f65461eff28d,Brinje,716,a0b1fb90-3f6a-4231-910a-18be192ac762,Flajšmanova
6d344016-1b93-4ff7-80a8-8cde0b57bd1c,Prežganje,c93954aa-7aad-4fca-9f7a-721d37f0474e,NS Rudnik,5001,TIMEOUT,TIMEOUT
07bad99d-070a-42f7-8766-d11d42152623,Prekmurska,54c591c0-7bbb-4489-9229-57b18f95827a,Stara cerkev,5001,TIMEOUT,TIMEOUT
bf990a3a-96e9-42b7-9147-33e85bd24c05,Ihan Flerin,caac4c1a-13e4-4afa-b467-65d90a8fbd44,Pod Hribom,5001,TIMEOUT,TIMEOUT
aee8e842-6083-48a7-b14f-cc3d112537bb,Opekarska,43df2657-d56f-4fc4-8c40-49180cbbe90c,Ruski car,4263,35dbaf26-2fa4-45c4-87fc-81d1ff13b005,Tbilisijska
717dda7e-d793-4697-8f60-b64ee8b1edc4,Gosposvetska,ed50f692-09f9-409e-b7d6-05ff7711de6b,Vnajnarje,3373,390d166c-b2fe-486c-bba5-38cd1ff64f48,Križišče Sostro
53c3c8c9-2e64-4a8f-9afb-031b24c17d5a,Plečnikova cerkev,eead721b-8996-4e73-a2f9-02dba20df4fa,Ilirska,2584,1ceecd12-b005-4828-ad39-8f2aeb1ca228,Iški most
98a75a4c-0ef8-4efa-8f0a-384fe8eafce0,Havptmance,717c914e-f928-4671-95f6-26c1ddb95799,Cesta v Gorice,5001,TIMEOUT,TIMEOUT
e4635b94-348c-4c69-be85-1160488e5e43,BTC-ATLANTIS,f2bac6f5-5bbc-4f15-acdd-014d86770ce9,Kneza Koclja,1814,21764d19-62cc-49fd-bac9-403aeac6a6b9,Ježica
12304b99-9a07-485a-a101-eaca90495d48,Besnica šola,36c7bbd0-50d7-4b5d-b9b3-9dadd37ac50b,Cesta v Kresnice,3425,7ea32e84-b8d9-498b-9f03-5a66990012b9,Rožičeva
4a74b966-4fbf-41ab-8e1b-276f3f14fc49,Ježa,3f0c15b3-99bd-4c12-8f7a-df06c9536526,Pod Sivnikom,3703,fcccf4af-4f16-4edc-ba5a-585c434593fe,ZD Polje
9cd1e7f8-8ccf-4469-bc25-25d138605c67,Akademija,8fbf17ab-413b-442c-9c6a-0eb8873a4755,Kovinarska,2312,e8d0bfd1-b300-4eae-8f85-79266066bb3c,Medvoška a.p.
9cfac7e2-9653-4e52-a6d3-27756d27f817,Kino Šiška,a3aeed02-8e36-4cb0-bb08-25cc4afda164,Rašica,4167,bea274aa-277a-403d-ab2f-a0342b28882e,Križanke
aa113271-655f-423f-ad7e-4cfaba2eb739,Pod Urhom,557f714a-6f4a-4c98-8c5a-d74fa34b2adb,Hrvatski trg,5001,TIMEOUT,TIMEOUT
7fcb0952-c77f-44b5-adf3-0aa2a2b8550a,BARJE P+R,125d4928-6b97-4a4b-af34-a2d1564c029c,Zasavska,5001,TIMEOUT,TIMEOUT
ca8cbe57-95dc-4326-9c06-b60a87b981b1,ŠKOFLJICA obrač.,f07c916c-6fc6-4acf-a334-0ab0d3c4f57f,Središka,5001,TIMEOUT,TIMEOUT
22ef2062-46f0-4a46-8d9a-6ceb7b7f45bc,Ilirska,8b5f91a6-23b7-4786-96f9-a80c6d668e18,Sp. Pirniče,5001,TIMEOUT,TIMEOUT
d4c25d68-c340-431b-a646-7680fe0cefee,Pržanec,b47eac47-d897-4ba7-ab06-8e642cc8efe8,BERIČEVO,5001,TIMEOUT,TIMEOUT
5881f75e-9383-49b0-811d-04c864ba1605,Sp. Gameljne 1,f2fc2702-e9da-4c36-b6fc-9f52199e4574,Rakovnik,5001,TIMEOUT,TIMEOUT
c3188d8e-c2d3-40e5-acc2-14bef70a5ff4,Za travniki,7276f267-9837-4c56-aad3-f8cd555060da,Prežganje šola,1919,9e109242-5aad-4fb7-b0c8-576eef8aa4e0,VEVČE
717c914e-f928-4671-95f6-26c1ddb95799,Cesta v Gorice,6c773433-c487-49c5-a783-32c0e276ed7b,Dolgi most Rotar,63,66eec6a2-dfde-4d98-b690-e47f200367fd,Log
6932c2e0-ff32-4170-b519-fba88e29c147,Cesta XV,eefb30b4-8049-4128-89f5-bb359b1c93b0,Prežganje,5001,TIMEOUT,TIMEOUT
e8d0bfd1-b300-4eae-8f85-79266066bb3c,Medvoška a.p.,0fb83496-463c-4123-97c6-669efe614d26,Besnica kamnolom,5001,TIMEOUT,TIMEOUT
a9796806-8cd3-4b76-bf8c-4340aec35c9e,Lutkovno gl.,b91edda3-a147-4599-bebf-85e145de085b,Živalski vrt-ZOO,143,41489be9-b3b7-4cbe-90f8-af1a435b2676,Orlova
7310c006-62b8-4f94-bb9c-d5c26cb3faad,Polje,e8b0d4a2-f65e-4aed-97b8-77ab0d07955a,Cesta v Kresnice,5001,TIMEOUT,TIMEOUT
33613e0e-f41c-4cee-804a-3942bf698e3e,Iški most,76f20fbf-afc4-4c7d-b51c-14f0878b38d8,C. STOŽICE P+R,5001,TIMEOUT,TIMEOUT
e8b0d4a2-f65e-4aed-97b8-77ab0d07955a,Cesta v Kresnice,52e5adea-e194-4fc1-809c-1d6421f8f8db,Kovinarska,3628,521edd75-c364-480a-af9e-a1c9815b6dd7,Gasilska brigada
7294875b-8482-484a-b04d-95b921612001,Vič,da623aed-094d-4c3c-9766-9f0aba0f40f6,C. dveh cesarjev,199,38b3abed-0592-407b-96c3-85a026f2e192,Dalmatinova
8c7fa045-888b-46d0-8189-6f82623bf481,Poljanska,dfde6478-02b5-471b-a470-29cb0e84542f,Slovenija avto,4559,c627c9f2-af02-4d83-969a-566719bb09e3,GAMELJNE
c6eab761-36e0-4bf8-88ed-48e594ed375b,Parmova,2d42d8e2-26a8-4a74-809c-f436d05c8a54,Tbilisijska,514,c87db9be-1fba-4102-a743-0ee4317dd5af,Bavarski dvor
66012072-6b6b-4775-8001-0887d18e09a3,Pod Debnim vrhom,9a1c4c65-df77-481f-87ad-56143f02a864,Vižmarje,1992,ba846253-4c87-4120-8f1c-05a563bf3999,Nove Žale
d3a6cbf3-65f0-4db8-9a10-1460763eac8e,Hrušica,3edd6057-3847-4c42-b8ec-6e89ff95793a,Zadobrova,5001,TIMEOUT,TIMEOUT
627be449-8b6a-40f4-a57c-09ccdacccb66,Novo naselje,36c7bbd0-50d7-4b5d-b9b3-9dadd37ac50b,Cesta v Kresnice,5001,TIMEOUT,TIMEOUT
